,date,Berlin,Stuttgart,Muenchen,Potsdam,Bremen,Wiesbaden,Schwerin,Hannover,Duesseldorf,Mainz,Saarbruecken,Dresden,Magdeburg,Kiel,Erfurt
0,2022-06-01 19:00:24,1.81,1.802,1.8007,1.828,1.873,1.825,1.84,1.799,1.832,1.823,1.724,1.843,1.7719,1.872,1.86456
1,2022-06-01 21:19:14,1.809,1.801,1.7997,1.828,1.867,1.822,1.84,1.799,1.829,1.818,1.724,1.841,1.7719,1.869,1.86122
2,2022-06-02 04:54:47,1.85567,1.851,1.81517,1.898,1.886,1.85525,1.8915,1.82067,1.886,1.85789,1.78122,1.882,1.83138,1.89233,1.889
3,2022-06-02 12:52:20,1.824,1.843,1.80656,1.848,1.876,1.895,1.888,1.829,1.878,1.894,1.794,1.85,1.8648,1.89344,1.879
4,2022-06-02 16:19:42,1.847,1.8465,1.81362,1.877,1.891,1.898,1.887,1.84344,1.885,1.895,1.8,1.859,1.88743,1.911,1.867
5,2022-06-03 02:20:00,1.85,1.85186,1.81571,1.898,1.878,1.883,1.888,1.84471,1.868,1.885,1.797,1.856,1.88762,1.882,1.869
6,2022-06-04 06:52:28,1.861,1.875,1.8406,1.919,1.919,1.911,1.917,1.879,1.925,1.91344,1.874,1.866,1.8959,1.916,1.889
7,2022-06-04 08:48:54,1.861,1.875,1.8406,1.919,1.919,1.911,1.917,1.879,1.925,1.91344,1.874,1.866,1.8959,1.917,1.889
8,2022-06-04 08:52:45,1.861,1.88233,1.8446,1.94233,1.919,1.914,1.924,1.858,1.929,1.915,1.869,1.868,1.90586,1.93471,1.91025
9,2022-06-04 09:52:04,1.859,1.87775,1.8357,1.921,1.911,1.909,1.917,1.857,1.909,1.909,1.86186,1.867,1.88513,1.919,1.893
10,2022-06-04 11:52:24,1.874,1.88678,1.8446,1.937,1.908,1.91,1.923,1.863,1.909,1.911,1.86329,1.868,1.87778,1.929,1.894
11,2022-06-04 12:31:22,1.859,1.87456,1.8366,1.926,1.903,1.909,1.918,1.862,1.909,1.909,1.86329,1.868,1.86888,1.928,1.893
12,2022-06-04 14:03:01,1.895,1.88789,1.8487,1.953,1.916,1.931,1.934,1.88678,1.924,1.931,1.87186,1.89456,1.90217,1.94344,1.927
13,2022-06-04 14:31:42,1.883,1.87678,1.8457,1.94011,1.905,1.915,1.919,1.87,1.919,1.915,1.86329,1.869,1.89513,1.93567,1.92
